source_file,model,variant,input_len,output_len,offered_qps,sample_count,power_w_mean,power_w_median,power_w_max,gpu_temp_c_mean,gpu_temp_c_median,gpu_temp_c_max,memory_temp_c_mean,memory_temp_c_median,memory_temp_c_max,sm_util_pct_mean,sm_util_pct_median,sm_util_pct_max,memory_util_pct_mean,memory_util_pct_median,memory_util_pct_max,framebuffer_mb_mean,framebuffer_mb_median,framebuffer_mb_max,bar1_mb_mean,bar1_mb_median,bar1_mb_max,pcie_rx_mb_s_mean,pcie_rx_mb_s_median,pcie_rx_mb_s_max,pcie_tx_mb_s_mean,pcie_tx_mb_s_median,pcie_tx_mb_s_max
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+q/mon/default-random-768x32-2qps-200p.txt,Llama-3.2-3B,all+q,768,32,2.0,109,196.6697247706422,196.0,397.0,43.37614678899082,43.0,49.0,39.87155963302752,39.0,44.0,23.568807339449542,0.0,100.0,5.614678899082569,0.0,34.0,130686.37614678899,130687.0,130687.0,130687.37614678899,130688.0,130688.0,11.660550458715596,0.0,76.0,2.467889908256881,0.0,13.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-128x128-2qps-200p.txt,Llama-3.2-3B,all+sd(1B),128,128,2.0,111,212.77477477477478,235.0,245.0,44.27927927927928,45.0,46.0,41.990990990990994,43.0,43.0,32.54054054054054,42.0,45.0,13.387387387387387,17.0,19.0,130214.53153153154,130215.0,130215.0,130215.53153153154,130216.0,130216.0,84.97297297297297,108.0,122.0,14.342342342342342,18.0,21.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-128x512-2qps-200p.txt,Llama-3.2-3B,all+sd(1B),128,512,2.0,111,231.1891891891892,243.0,273.0,43.11711711711712,44.0,45.0,40.88288288288288,42.0,43.0,39.126126126126124,44.0,49.0,15.99099099099099,18.0,20.0,130214.53153153154,130215.0,130215.0,130215.53153153154,130216.0,130216.0,102.09909909909909,118.0,130.0,16.73873873873874,20.0,22.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-512x128-16qps-200p.txt,Llama-3.2-3B,all+sd(1B),512,128,16.0,26,236.19230769230768,208.5,399.0,42.69230769230769,42.5,49.0,39.19230769230769,39.0,43.0,28.192307692307693,43.5,64.0,11.0,18.0,24.0,130212.84615384616,130212.0,130215.0,130213.84615384616,130213.0,130216.0,68.1923076923077,56.5,187.0,10.192307692307692,9.0,24.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-512x128-1qps-200p.txt,Llama-3.2-3B,all+sd(1B),512,128,1.0,205,201.49756097560976,218.0,258.0,42.614634146341466,43.0,48.0,40.229268292682924,40.0,44.0,25.878048780487806,43.0,49.0,10.614634146341464,17.0,20.0,130212.8731707317,130213.0,130213.0,130213.8731707317,130214.0,130214.0,66.22926829268293,106.0,128.0,11.21951219512195,17.0,22.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-512x128-2qps-200p.txt,Llama-3.2-3B,all+sd(1B),512,128,2.0,110,221.1090909090909,242.0,264.0,42.92727272727273,44.0,47.0,40.53636363636364,41.0,43.0,34.82727272727273,44.0,49.0,14.063636363636364,18.0,20.0,130212.76363636364,130213.0,130213.0,130213.76363636364,130214.0,130214.0,87.0,112.0,128.0,14.436363636363636,18.0,21.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-512x128-4qps-200p.txt,Llama-3.2-3B,all+sd(1B),512,128,4.0,62,231.40322580645162,251.0,289.0,44.54838709677419,45.0,47.0,41.96774193548387,43.0,43.0,35.774193548387096,44.5,50.0,14.32258064516129,18.0,20.0,130212.58064516129,130213.0,130213.0,130213.58064516129,130214.0,130214.0,90.01612903225806,116.0,138.0,14.758064516129032,19.0,21.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-512x128-8qps-200p.txt,Llama-3.2-3B,all+sd(1B),512,128,8.0,38,231.3421052631579,269.0,320.0,43.1578947368421,44.0,51.0,40.1578947368421,41.0,43.0,31.36842105263158,46.0,53.0,12.473684210526315,18.0,20.0,130212.31578947368,130213.0,130213.0,130213.31578947368,130214.0,130214.0,74.36842105263158,113.5,129.0,12.631578947368421,18.0,23.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-768x192-2qps-200p.txt,Llama-3.2-3B,all+sd(1B),768,192,2.0,110,233.33636363636364,250.0,288.0,43.38181818181818,44.0,50.0,41.054545454545455,42.0,44.0,37.17272727272727,45.0,55.0,15.118181818181819,18.0,20.0,130212.76363636364,130213.0,130213.0,130213.76363636364,130214.0,130214.0,93.0909090909091,114.0,128.0,15.636363636363637,19.0,22.0
bench/bench_results/Llama-3.2-3B/NVIDIA-H200/vllm-0.18.0-all+sd(1B)/mon/default-random-768x32-2qps-200p.txt,Llama-3.2-3B,all+sd(1B),768,32,2.0,110,202.78181818181818,211.0,281.0,39.68181818181818,40.0,43.0,37.14545454545455,38.0,40.0,26.12727272727273,43.0,60.0,10.627272727272727,17.0,20.0,130212.76363636364,130213.0,130213.0,130213.76363636364,130214.0,130214.0,58.93636363636364,89.5,128.0,10.4,16.0,36.0
